department_id,department_name,division_id,budget_m
1,Software Engineering,1,45.0
2,Data & Analytics,1,22.0
3,Infrastructure & DevOps,1,18.0
4,Cybersecurity,1,15.0
5,Product Management,1,12.0
6,Financial Planning & Analysis,2,8.0
7,Accounting,2,6.0
8,Treasury,2,5.0
9,Tax,2,4.0
10,Talent Acquisition,3,7.0
11,Employee Relations,3,5.0
12,Learning & Development,3,4.0
13,Total Rewards,3,3.0
14,Supply Chain,4,20.0
15,Facilities Management,4,10.0
16,Procurement,4,15.0
17,Quality Assurance,4,8.0
18,Enterprise Sales,5,35.0
19,Marketing,5,20.0
20,Inside Sales,5,18.0
21,Partner & Channel,5,12.0
22,Legal,6,9.0
23,Compliance,6,6.0
24,Risk Management,6,5.0
25,Applied Research,7,30.0
26,Innovation Lab,7,20.0
27,Clinical Trials,7,25.0
28,Customer Support,8,12.0
29,Implementation Services,8,8.0
30,Customer Experience,8,6.0
